OID,site,plot,ANPP,MAT,MASM,CLAY,LIG,N,CN,fW,treatment,soilGWC,cum_LitterCMin,soilpH,sir,sir_mlC,microbialBiomassC_perg,microbialBiomassC
1,HARV,1,750,20,,15,21,1,49,0.35,35,70.08866468,57.07072615,4.376666667,13.19598656,0.024683851,1.358341381,0.339585345
2,HARV,1,750,20,55,15,21,1,49,0.6,60,70.08866468,95.97761803,4.376666667,13.19598656,0.024683851,1.358341381,0.339585345
3,HARV,1,750,20,,15,21,1,49,1,100,70.08866468,56.24469203,4.376666667,13.19598656,0.024683851,1.358341381,0.339585345
4,HARV,10,750,20,,15,21,1,49,0.35,35,47.22862193,44.00529681,3.986666667,9.751467743,0.01824068,1.100356843,0.275089211
5,HARV,10,750,20,55,15,21,1,49,0.6,60,47.22862193,57.52916262,3.986666667,9.751467743,0.01824068,1.100356843,0.275089211
6,HARV,10,750,20,,15,21,1,49,1,100,47.22862193,46.4365285,3.986666667,9.751467743,0.01824068,1.100356843,0.275089211
7,HARV,11,750,20,,15,21,1,49,0.35,35,37.78284284,48.26612812,4.34,8.835917428,0.016528091,1.031784762,0.257946191
8,HARV,11,750,20,55,15,21,1,49,0.6,60,37.78284284,54.63592211,4.34,8.835917428,0.016528091,1.031784762,0.257946191
9,HARV,11,750,20,,15,21,1,49,1,100,37.78284284,50.66894011,4.34,8.835917428,0.016528091,1.031784762,0.257946191
10,HARV,12,750,20,,15,21,1,49,0.35,35,43.67262765,46.71250737,4.286666667,8.702388976,0.016278318,1.021783866,0.255445966
11,HARV,12,750,20,55,15,21,1,49,0.6,60,43.67262765,55.86657388,4.286666667,8.702388976,0.016278318,1.021783866,0.255445966
12,HARV,12,750,20,,15,21,1,49,1,100,43.67262765,54.67196063,4.286666667,8.702388976,0.016278318,1.021783866,0.255445966
13,HARV,13,750,20,,15,21,1,49,0.35,35,37.86970555,44.66939857,4.516666667,7.556883443,0.014135584,0.935988801,0.2339972
14,HARV,13,750,20,55,15,21,1,49,0.6,60,37.86970555,67.50905407,4.516666667,7.556883443,0.014135584,0.935988801,0.2339972
15,HARV,13,750,20,,15,21,1,49,1,100,37.86970555,58.52841837,4.516666667,7.556883443,0.014135584,0.935988801,0.2339972
16,HARV,15,750,20,,15,21,1,49,0.35,35,53.52707775,47.41327879,4.13,7.891875535,0.014762206,0.961078744,0.240269686
17,HARV,15,750,20,55,15,21,1,49,0.6,60,53.52707775,54.14131394,4.13,7.891875535,0.014762206,0.961078744,0.240269686
18,HARV,15,750,20,,15,21,1,49,1,100,53.52707775,50.16037581,4.13,7.891875535,0.014762206,0.961078744,0.240269686
