site,plot,treatment,cum_LitterCMin,soilGWC,soilpH,sir,percent.N,percent.C,C_N,bulkdensity,soilWHC,sir_mlC,microbialBiomassC_perg,microbialBiomassC
HARV,1,35,57.0707261516238,70.0886646786024,4.376666666666667,13.19598656451267,1.3399999999999999,27.474999999999998,20.549999999999997,0.152595024639182,78.05267585883004,0.024683850663136307,1.3583413805519777,0.33958534513799443
HARV,1,60,95.9776180322905,70.0886646786024,4.376666666666667,13.19598656451267,1.3399999999999999,27.474999999999998,20.549999999999997,0.152595024639182,78.05267585883004,0.024683850663136307,1.3583413805519777,0.33958534513799443
HARV,1,100,56.2446920253175,70.0886646786024,4.376666666666667,13.19598656451267,1.3399999999999999,27.474999999999998,20.549999999999997,0.152595024639182,78.05267585883004,0.024683850663136307,1.3583413805519777,0.33958534513799443
HARV,10,35,44.0052968130061,47.228621929089,3.986666666666667,9.751467742583017,0.7749999999999999,20.98,27,0.182413148773268,69.2115809809781,0.018240680401389854,1.1003568432716497,0.27508921081791243
HARV,10,60,57.5291626153788,47.228621929089,3.986666666666667,9.751467742583017,0.7749999999999999,20.98,27,0.182413148773268,69.2115809809781,0.018240680401389854,1.1003568432716497,0.27508921081791243
HARV,10,100,46.4365284959714,47.228621929089,3.986666666666667,9.751467742583017,0.7749999999999999,20.98,27,0.182413148773268,69.2115809809781,0.018240680401389854,1.1003568432716497,0.27508921081791243
HARV,11,35,48.2661281157407,37.782842840661566,4.34,8.835917428308216,0.5700000000000001,15.690000000000001,27.65,0.346162233660702,64.6633057310212,0.016528090962043048,1.0317847621202036,0.2579461905300509
HARV,11,60,54.635922108042,37.782842840661566,4.34,8.835917428308216,0.5700000000000001,15.690000000000001,27.65,0.346162233660702,64.6633057310212,0.016528090962043048,1.0317847621202036,0.2579461905300509
HARV,11,100,50.6689401143925,37.782842840661566,4.34,8.835917428308216,0.5700000000000001,15.690000000000001,27.65,0.346162233660702,64.6633057310212,0.016528090962043048,1.0317847621202036,0.2579461905300509
HARV,12,35,46.7125073677629,43.6726276499667,4.286666666666667,8.70238897623136,0.78,16.97,21.700000000000003,0.100505002688897,65.75550063058844,0.016278318324413316,1.021783865709509,0.25544596642737727
HARV,12,60,55.866573876255,43.6726276499667,4.286666666666667,8.70238897623136,0.78,16.97,21.700000000000003,0.100505002688897,65.75550063058844,0.016278318324413316,1.021783865709509,0.25544596642737727
HARV,12,100,54.6719606322141,43.6726276499667,4.286666666666667,8.70238897623136,0.78,16.97,21.700000000000003,0.100505002688897,65.75550063058844,0.016278318324413316,1.021783865709509,0.25544596642737727
HARV,13,35,44.6693985685495,37.86970554820974,4.516666666666667,7.556883442837323,0.56,12.53,22.45,0.149186528942079,61.72740764839605,0.014135584442269589,0.9359888010684743,0.23399720026711857
HARV,13,60,67.5090540713518,37.86970554820974,4.516666666666667,7.556883442837323,0.56,12.53,22.45,0.149186528942079,61.72740764839605,0.014135584442269589,0.9359888010684743,0.23399720026711857
HARV,13,100,58.5284183689979,37.86970554820974,4.516666666666667,7.556883442837323,0.56,12.53,22.45,0.149186528942079,61.72740764839605,0.014135584442269589,0.9359888010684743,0.23399720026711857
HARV,15,35,47.4132787877782,53.52707774583427,4.13,7.8918755349617635,0.87,20.58,23.6,0.151892752799953,71.72743428609769,0.014762206387882084,0.9610787437707986,0.24026968594269965
HARV,15,60,54.1413139412182,53.52707774583427,4.13,7.8918755349617635,0.87,20.58,23.6,0.151892752799953,71.72743428609769,0.014762206387882084,0.9610787437707986,0.24026968594269965
HARV,15,100,50.1603758090668,53.52707774583427,4.13,7.8918755349617635,0.87,20.58,23.6,0.151892752799953,71.72743428609769,0.014762206387882084,0.9610787437707986,0.24026968594269965
HARV,17,35,93.8359864350395,63.80820904465337,3.9699999999999998,17.461818688412635,1.345,40.870000000000005,30.3,0.0860959924474688,84.8775968849052,0.0326633346210487,1.6778399182267898,0.41945997955669745
HARV,17,60,52.6720799331042,63.80820904465337,3.9699999999999998,17.461818688412635,1.345,40.870000000000005,30.3,0.0860959924474688,84.8775968849052,0.0326633346210487,1.6778399182267898,0.41945997955669745
HARV,17,100,46.5968705224191,63.80820904465337,3.9699999999999998,17.461818688412635,1.345,40.870000000000005,30.3,0.0860959924474688,84.8775968849052,0.0326633346210487,1.6778399182267898,0.41945997955669745
HARV,2,35,57.3135503963911,69.1946061127051,4.1066666666666665,14.300732668849667,1.23,31.955000000000002,25.9,0.177253688958447,76.80610137465895,0.02675034169257326,1.4410836813706331,0.3602709203426583
HARV,2,60,57.2791444564361,69.1946061127051,4.1066666666666665,14.300732668849667,1.23,31.955000000000002,25.9,0.177253688958447,76.80610137465895,0.02675034169257326,1.4410836813706331,0.3602709203426583
HARV,2,100,46.9890955974205,69.1946061127051,4.1066666666666665,14.300732668849667,1.23,31.955000000000002,25.9,0.177253688958447,76.80610137465895,0.02675034169257326,1.4410836813706331,0.3602709203426583
